,Kota,Temperature,Feels Like,Wind Speed,Wind Direction,Humidity,Dew Point,Visibility,Probabilty of Rain,Amount of Rain
43,Palembang,27 °C,29 °C,9 km/h,ESE↑,64%,20 °C,12 km,0%,"* Updated Thursday, 19 September 2024 20:03:06 Palembang time - Weather by CustomWeather, © 2024"
44,Tegal,26 °C,27 °C,14 km/h,S↑,77%,21 °C,13 km,0%,"* Updated Thursday, 19 September 2024 20:03:06 Tegal time - Weather by CustomWeather, © 2024"
45,Gorontalo,26 °C,29 °C,1 km/h,NNE↑,89%,25 °C,7 km,1%,"* Updated Thursday, 19 September 2024 21:03:06 Gorontalo time - Weather by CustomWeather, © 2024"
46,Palu,27 °C,31 °C,5 km/h,SE↑,83%,24 °C,10 km,5%,-
47,Ternate,25 °C,26 °C,9 km/h,ENE↑,88%,23 °C,6 km,34%,3.1  mm
48,Jakarta,27 °C,29 °C,10 km/h,N↑,76%,22 °C,12 km,0%,"* Updated Thursday, 19 September 2024 20:03:06 Jakarta time - Weather by CustomWeather, © 2024"
49,Pangkal Pinang,27 °C,29 °C,11 km/h,SE↑,80%,23 °C,11 km,0%,"* Updated Thursday, 19 September 2024 20:03:06 Pangkal Pinang time - Weather by CustomWeather, © 2024"
50,Ubud,25 °C,27 °C,6 km/h,S↑,92%,24 °C,11 km,0%,"* Updated Thursday, 19 September 2024 21:03:06 Ubud time - Weather by CustomWeather, © 2024"
51,Jambi,27 °C,29 °C,3 km/h,NNE↑,70%,21 °C,13 km,0%,-
52,Pekalongan,25 °C,26 °C,5 km/h,S↑,79%,21 °C,15 km,0%,"* Updated Thursday, 19 September 2024 20:03:06 Pekalongan time - Weather by CustomWeather, © 2024"
53,Yogyakarta,22 °C,21 °C,4 km/h,SSW↑,90%,21 °C,10 km,0%,"* Updated Thursday, 19 September 2024 20:03:06 Yogyakarta time - Weather by CustomWeather, © 2024"
54,Jayapura,26 °C,28 °C,9 km/h,SSE↑,91%,24 °C,7 km,2%,-
55,Pekanbaru,29 °C,32 °C,3 km/h,ESE↑,66%,22 °C,9 km,0%,0.1  mm
56,Kediri,23 °C,23 °C,17 km/h,S↑,86%,21 °C,12 km,2%,"* Updated Thursday, 19 September 2024 20:03:06 Kediri time - Weather by CustomWeather, © 2024"
57,Pematangsiantar,23 °C,23 °C,6 km/h,WSW↑,85%,20 °C,12 km,16%,1.9  mm
